,state,time,avg,var
567,akwa ibom,2016-04-01,10265.70293755331,327334.62293886405
568,akwa ibom,2016-05-01,10751.569002478933,346934.0186913089
569,akwa ibom,2016-06-01,10815.042733443534,343318.3263147694
570,akwa ibom,2016-07-01,10288.244291583234,326348.5340014525
571,akwa ibom,2016-08-01,10132.87459709164,333507.4539400259
572,akwa ibom,2016-09-01,9120.129422782653,286978.5268235118
573,akwa ibom,2016-10-01,8541.52084851567,269821.72237528506
574,akwa ibom,2016-11-01,7933.244215799386,232875.84002992578
575,akwa ibom,2016-12-01,7939.016973250488,156362.13257937072
576,akwa ibom,2017-01-01,8088.96867407323,273844.46697223076
577,akwa ibom,2017-02-01,8694.106845384329,310831.98027048894
578,akwa ibom,2017-03-01,9371.152460311743,324918.3274914775
579,akwa ibom,2017-04-01,10179.198132288302,364137.7162620442
580,akwa ibom,2017-05-01,10599.4406058318,384730.2119568403
581,akwa ibom,2017-06-01,10405.767699618522,375275.67631084006
582,akwa ibom,2017-07-01,9854.265502581335,342134.35757005436
583,akwa ibom,2017-08-01,9652.729109604314,345145.8353951325
584,akwa ibom,2017-09-01,8699.722021044603,303829.3567605217
